店舗名称,住所,digital,paper
おの庄,柏の森,True,True
おふくろ,本町,False,True
お好み焼きむらた,小正,True,True
お茶とお食事処森山,綱分,True,True
かにすけ,堀池,False,True
かほ兵衛の台所,鶴三緒,True,True
かめ屋質店,吉原町,True,True
かやのもり音楽Cafｅ Ｓｉｎｏｓ,柏の森,True,True
かやの森カフェ,柏の森,False,True
からあげ大将飯塚本店,菰田西,True,True
きっずえんじぇる飯塚店,柏の森,True,True
きど葬祭やまさ飯塚斎場,潤野,True,True
きものたかた,宮町,True,True
くいもん家あじと,柏の森,False,True
くすりのハッピー 潤野店,潤野,True,True
くすりのハッピー川津店,川津,True,True
くすりのハッピー庄内店,有安,True,True
くすりのヤスタケ穂波店,枝国,True,True
くにまる酒店,津原,False,True
くまがい釣具,鯰田,True,True
くらや,仁保,True,True
けいこ美容室,新飯塚,False,True
げんき屋,川津,True,True
ご馳走家むつごろう,新飯塚,True,True
さかえ屋 平恒おやつshop,平恒,False,True
しまづ者,本町,True,True
しらゆり会館小竹・頴田会場,勢田,True,True
しらゆり会館飯塚・上三緒会場,上三緒,True,True
しらゆり会館飯塚・鯰田会場,鯰田,True,True
たい焼山口屋,飯塚,False,True
たこ吉,本町,False,True
たまごん工房,佐與,True,True
たまや毛糸店,本町,False,True
だがしのお店だがシステム,飯塚,True,True
だがし家 ちゃりんこ,菰田西,False,True
ちろりん村とくるみの木,幸袋,False,True
てんぐ風呂住設,菰田西,False,True
でんきのパワフル相田店,相田,True,True
ともや玩具店,飯塚,True,True
とりさし梅松 福岡飯塚店,本町,True,True
とり久,小正,True,True
とんかつ専門店うめーや,太郎丸,False,True
とんかつ専門店ふくや,本町,False,True
どんどん亭 柏の森店,柏の森,True,False
なか六新鮮屋,阿恵,True,True
なんばん往来本店,堀池,True,True
にくたま工房Loin,飯塚,False,True
にこにこ亭,中,True,True
にじいろ整体セラピー,飯塚,True,True
のがみプレジデントホテル,新立岩,True,True
のがみプレジデントホテル 中国料理のがみ大飯店,新立岩,True,True
のがみプレジデントホテル 和食処 日本海,新立岩,True,True
はちみつショップ natural selection acatuki,山倉,True,True
はとや ルナ店,本町,True,True
はないちもんめ,堀池,True,True
ひいらぎ,本町,False,True
ひよ子本舗吉野堂 ゆめタウン飯塚店,菰田西,True,True
ひよ子本舗吉野堂 イオン穂波店,枝国,True,True
ひよ子本舗吉野堂 飯塚工場売店,楽市,True,True
ひよ子本舗吉野堂 飯塚本店,本町,True,True
ふくおか安心安全ショップ,小正,True,True
ふくまＤＥＮＫＩ,中,True,True
ふたせ饅頭本舗,伊岐須,True,True
ふらってぃーのドッグカフェ,中,True,True
ふらんす料理 平野,上三緒,True,True
ほとめき市場 一太郎,鯰田,True,True
まるまんフィオーレ,菰田西,True,True
みそらぼ,横田,True,True
みどりや,本町,False,True
みんなでごはん 穂のさろん,弁分,True,True
めがねのツカハラ,堀池,True,True
めし屋ーHAKUー,潤野,True,True
めん処大助 花瀬店,花瀬,False,True
もつ家,中,True,True
もつ鍋 やじろべえ飯塚店,柏の森,True,True
もりまさ薬局,上三緒,True,True
もり田のからあげ,口原,False,True
もり田のからあげ 穂波店,南尾,False,True
やきとり 幸ちゃん,下三緒,False,True
やきとりの炭活,吉原町,True,True
やま志,小正,False,True
や台ずし飯塚バスターミナル本町,吉原町,True,True
ゆめタウン飯塚,菰田西,True,True
ゆめマート花瀬,花瀬,True,True
ゆめマート飯塚,吉原町,True,True
よしの米穀合同会社,北古賀,True,True
わた惣,本町,True,True
アイアイだいぶ,大分,True,True
アエナゆめタウン飯塚店,菰田西,True,True
アキモト酸素,川津,False,True
アベイル堀池店,堀池,False,True
アベタ・ソレイユ/ヴァーグ,本町,True,True
アラミアルーアン,綱分,True,True
アルソア Ｄｏ,立岩,True,True
アルゾ飯塚幸袋店,中,True,True
アロマ クローバー,中,False,True
アンコルド パン,川津,True,True
アンジョルノカフェ,新飯塚,True,True
アントス（株）,上三緒,True,True
アートギャラリー紅椿,本町,True,True
アーユルヴェーダサロンエルフローラ,宮町,True,True
アールテックシステム株式会社,川津,True,True
イエローハット飯塚店,若菜,True,True
イオン穂波ショッピングセンター,枝国,True,True
イオン穂波店ショッピングセンター同友店会,枝国,False,True
インテリアクラヤ,飯塚,True,True
ウエスト飯塚店うどんコーナー,枝国,True,True
ウエスト飯塚店焼肉コーナー,枝国,True,True
エクセルブランチ,枝国,False,True
エステサロン シャルール,柏の森,True,True
エステサロンKENKEN,枝国,False,True
エディオン飯塚店,弁分,True,True
エトウ時計店 イオン穂波店,枝国,True,True
エム・ドリーム,本町,False,True
エースタクシー,有井,True,True
オアシス珈琲,堀池,True,True
オレンジタクシー(株),川津,False,True
オンデーズ イオン穂波店,枝国,True,True
オートバックス飯塚,堀池,True,True
オーラッキーズクラブ,川津,True,True
カットハウスゼロ,伊岐須,False,True
カメラのキタムラ ゆめタウン飯塚店,菰田西,True,False
カラオケともやん,本町,False,True
カラオケリズミカル サンタス飯塚店,中,True,True
カラオケ＆カフェ ＲＥＶＯ,柏の森,True,True
カレーショップ華月,吉原町,False,True
カレーハウスCoCo壱番屋飯塚柏の森店,柏の森,False,True
カレーハウスＣＯＣＯ壱番屋飯塚若菜店,若菜,False,True
カーネル食堂,本町,False,True
ガスのアイプロ,枝国,True,True
キャスティング飯塚店,枝国,True,True
クイックショット,立岩,True,True
グッデイ庄内店,有安,True,True
グッデイ飯塚店,川島,True,True
グリーンベルトタクシー,川津,False,True
グルメ寿司貫べえ飯塚店,堀池,False,True
グーテンターク,西町,True,True
ケイターズ（AUTO GARAGE KEITA'S）,堀池,True,True
ケンタッキーフライドチキン飯塚かやの森店,柏の森,True,True
ケンタッキーフライドチキン飯塚秋松店,秋松,True,True
ケーズデンキ飯塚店,秋松,True,True
コトツキ、,花瀬,True,True
コメダ珈琲店飯塚川津店,横田,False,True
コメリパワー飯塚店,太郎丸,True,False
コヤンサラム,下三緒,False,True
コーヒーミルククレイジー,柏の森,True,True
サイクルセンターはやしだ,長尾,False,True
サイクルセンターはらぐち,柏の森,False,True
サウンドダイニング音色,柏の森,True,True
サラン,吉原町,False,True
サロンドボーテ スミレ,飯塚,False,True
サンエトワール新飯塚店,芳雄町,True,True
サンドラッグ九工大前店,川津,True,True
サンドラッグ穂波店,秋松,True,True
サーティワンアイスクリーム ゆめタウン飯塚店,菰田西,True,True
サーティワンアイスクリームイオン穂波店,枝国,True,True
サーティワンアイスクリーム飯塚かやの森店,柏の森,True,True
システムハウジングタイセイ,鯰田,False,True
シモカワ通信,若菜,True,True
シャトレーゼ柏の森店,柏の森,True,True
シャトレーゼ飯塚弁分店,弁分,False,True
シャンソン化粧品ＣＥサロン ’elua,新飯塚,True,True
シュープラザ飯塚店,弁分,True,True
ジャンボパンチ希林,秋松,True,True
ジャーマンベーカリー飯塚花瀬店,花瀬,True,True
ジュエリーシモカワ,宮町,True,True
ジンギスバル滝川本店,新飯塚,True,True
ジーンズショップナカムラ,飯塚,True,True
スイフンガ,新飯塚,False,True
スタジオマリオ ゆめタウン飯塚店,菰田西,True,False
ステーキハウス 三田屋,太郎丸,True,True
ステーキビストロWaltz,中,True,True
ストロベリーファーム,楽市,False,True
スナック・パンダ,飯塚,False,True
スーパーASO 潤野店,潤野,True,True
スーパーセンタートライアル上三緒店,上三緒,True,True
スーパーセンタートライアル飯塚庄内店,有安,True,True
スーパーセンタートライアル飯塚店,徳前,True,True
スーパーマーケットASO新飯塚店,芳雄町,True,True
スーパー川食庄内店,有安,True,True
スーパー川食筑穂店,平塚,True,True
スーパー川食鯰田店,鯰田,True,True
スーパーＡＳＯ昭和通店,菰田西,True,True
セゾンドぶらんこ,秋松,True,True
セブンイレブン筑穂中学校前店,長尾,True,True
セブンイレブン飯塚下三緒店,下三緒,True,True
セブンイレブン飯塚伊岐須店,伊岐須,True,True
セブンイレブン飯塚大分店,大分,False,True
セブンイレブン飯塚小正店,小正,False,True
セブンイレブン飯塚川津店,川津,True,True
セブンイレブン飯塚幸袋店,幸袋,True,True
セブンイレブン飯塚庄内店,綱分,True,True
セブンイレブン飯塚庄司店,庄司,True,True
セブンイレブン飯塚明治橋店,飯塚,False,True
セブンイレブン飯塚本町店,本町,True,True
セブンイレブン飯塚枝国店,枝国,True,True
セブンイレブン飯塚柏の森店,柏の森,True,True
セブンイレブン飯塚花瀬店,花瀬,True,True
セブンイレブン飯塚鯰田上町店,鯰田,True,True
セブンイレブン飯塚鶴三緒店,鶴三緒,True,True
セブンスポーツ,新飯塚,False,True
セントラル美容室,宮町,False,True
ゼッテリアイオン穂波店,枝国,True,True
タイヤガーデンBーWAVE,川島,True,True
タイヤ館飯塚,楽市,True,True
タイラ時計店,本町,True,True
タイ式マッサージむう庵,有井,True,True
タビーガレージ,本町,True,True
ダイヤゴルフセンター,鯰田,False,True
ダイレックス飯塚店,堀池,True,True
チキン屋とりまる,川津,False,True
ツアサデンキ,大分,False,True
ツルハドラッグ 中店,中,True,True
ツルハドラッグ新飯塚店,立岩,True,True
デラシネ(deracine),堀池,True,True
トップワンカフェ,菰田西,True,True
ドコモショップ穂波店,忠隈,True,True
ドコモショップ飯塚店,片島,True,True
ドラッグストアコスモス伊岐須店,伊岐須,True,True
ドラッグストアコスモス堀池店,堀池,True,True
ドラッグストアコスモス柏の森店,柏の森,True,True
ドラッグストアコスモス穂波店,太郎丸,True,True
ドラッグストアコスモス筑穂店,平塚,True,True
ドラッグストアコスモス花瀬店,横田,True,True
ドラッグストアコスモス近大前店,柏の森,True,True
ドラッグストアモリ 穂波店,椿,True,True
ドラッグストアモリ飯塚秋松店,秋松,True,True
ドラッグ頴田薬局,口原,True,True
ニトリデコホーム ゆめタウン飯塚店,菰田西,True,True
ニトリ飯塚店,太郎丸,True,True
ニュウファッション神戸,菰田西,True,True
ノエビア新飯塚販売会社,西町,True,True
ノエビア福岡南販売,横田,True,True
ハッピー薬局川津店,川津,True,True
ハッピー薬局庄内店,有安,True,True
ハローデイ九工大前店,川津,True,False
ハローデイ柏の森店,柏の森,True,False
ハローデイ穂波店,秋松,True,False
ハーデンベルギア,川津,False,True
バースデイ 飯塚店,秋松,False,True
パスタトピザ ゆめタウン飯塚店,菰田西,True,False
パソコンドック２４飯塚店,椿,True,True
パッケージプラザエジマヤ,堀池,True,True
パティスリー エスポワール,川津,True,True
パティスリースペリオール,川津,True,True
パティスリーＳＯＮＯＫＩ,忠隈,True,True
パドドゥ・ル・コトブキ,片島,True,True
パブ珈琲園,飯塚,True,True
パリミキ ゆめタウン飯塚店,菰田西,True,True
パンとお菓子の店Fille de ble’,上三緒,True,True
パンセ アミエ店,芳雄町,True,True
パンセ 横田店,横田,True,True
パーソナルトレーニングスタジオ ボディブレイス,新飯塚,True,True
パーマネントクラブ,天道,False,True
パーマハウスＢｅｅ ＳＨＯＷＥＲ,目尾,False,True
ヒマラヤ飯塚店,弁分,True,True
ビアレストラン Ｂーｓｐｏｔ,西町,True,True
ビッグワン,楽市,True,True
ビップエコー飯塚店,秋松,True,True
ビューティ アイランド,本町,True,True
ピザハット飯塚楽市店,南尾,True,True
ピザハット飯塚近大前店,有井,True,True
ピッツァリト,弁分,True,True
ファッションセンターしまむら穂波店,弁分,False,True
ファッションセンターしまむら飯塚店,有井,False,True
ファミリーショップそうあい,吉原町,True,True
フェイシャルサロン Sakura,有井,True,True
フジイ進物店,飯塚,True,True
フジキアドワークス(株）,伊岐須,True,True
フジノ酒店,伊岐須,True,True
フラワーショップはなびより,弁分,True,True
フロム,中,True,True
フローリストリスト 花仙,口原,True,True
フードウェイ新飯塚店,立岩,True,True
ブランジェリーシュシュ,潤野,True,True
ブルーミン,本町,True,True
プロショップマナベ飯塚店,秋松,True,False
ヘアーグラシューラフィネ 西町店,西町,False,True
ヘアーサロン モロオカ,平塚,True,True
ヘアーサロンムラカミ,鯰田,True,True
ホットドッグ吉河,仁保,True,True
ホワイトニングショップ飯塚店,新飯塚,True,True
ホームプラザナフコ頴田店,佐與,True,True
ホームプラザナフコ飯塚南店,椿,True,True
ボンフカヤ ゆめタウン飯塚店,菰田西,True,False
ボーカル教室ユニゾン,安恒,True,True
マックハウスゆめタウン飯塚店,菰田西,True,True
マツグマ石油ガス,口原,True,True
マリリン イオン穂波店,枝国,True,True
マルイチ商会,菰田西,True,True
ミシンのオズ西日本ミシン販売,柏の森,True,True
ミスタータイヤマンパドック飯塚,上三緒,True,True
ミスターマックス飯塚花瀬店,横田,True,True
ミュージアムショップ白蓮,幸袋,True,True
メガネのアイ・ルック,川津,True,True
メガネのヨネザワ ゆめタウン飯塚店,菰田西,True,True
メガネのＷＡＤＡ,潤野,True,True
メリーズラム,潤野,True,True
モスバーガー福岡穂波店,椿,True,True
モスバーガー飯塚かやの森店,柏の森,True,True
モスバーガー飯塚幸袋店,中,True,True
モリタゴルフ桜ヶ丘店,枝国,True,True
ヤマダデンキ テックランド飯塚店,秋松,True,True
ユゲデンキ,飯塚,True,True
ユニクロ飯塚店,秋松,True,True
ヨガ、エステサロンs.f &c野上愛子,鯰田,True,True
ラバース,弁分,True,True
ラフィネ サステナブルヘアー,中,False,True
ラーメンMAPPE,新飯塚,False,True
ラーメンふじ庵,佐與,False,True
ラーメン食堂まねしん坊,目尾,False,True
リコグリル,飯塚,True,True
リフォームおはりばこ,菰田西,True,True
リラクゼーションサロン 足癒夢,鯰田,True,True
リンガーハット飯塚水江店,片島,True,True
ルミエール穂波店,楽市,False,True
レインボーファクトリー飯塚店,伊岐須,True,True
レストラン明治屋,柏の森,True,True
レディバード,東徳前,False,True
レンタルフォトスタジオグレープ,枝国,True,True
ロイヤルホスト飯塚店,片島,True,True
ローソン飯塚病院店,芳雄町,True,True
ワイズキッチン,柏の森,True,True
ワイン食堂GLUGLU,柏の森,True,True
ヱビス味噌,口原,True,True
ヴィタリコ飯塚店,本町,True,True
㈱エコライフ福岡,片島,True,True
㈱ハクエイ,相田,False,True
一八飯店,柏の森,True,True
一膳,新飯塚,False,True
三星石油,片島,True,True
三晶自動車,有井,True,True
上島珈琲店飯塚病院店,芳雄町,True,True
上田種苗園,堀池,False,True
世界のハンバーグ ポパイ,花瀬,False,True
中央モータース,片島,True,True
中嶋プロパン瓦斯,川島,False,True
中田友文堂,飯塚,False,True
串かつ 壱番串,柏の森,True,True
串亭なかむら,相田,False,True
丸和カーテン,吉原町,True,True
丸山生花店,本町,True,True
丸島園,中,True,True
久保勝治商店,天道,True,True
久里屋,新飯塚,True,True
五龍酒店,新飯塚,True,True
井上呉服店,天道,False,True
井上洋服店,新飯塚,True,True
井筒屋飯塚ショップ,菰田西,True,True
京風串揚げ 宗,本町,False,True
介護ショップクロッカス,枝国,False,True
伊佐文具店,長尾,False,True
佐藤コンタクトレンズセンター,新飯塚,True,True
佐藤商店,上三緒,True,True
佐藤眼鏡店(メガネのサトー),本町,True,True
佐藤眼鏡店(メガネのサトー),枝国,True,True
倉掛米穀店,飯塚,True,True
倉重酒店ー酒を愉しみ食を喜ぶー,伊川,True,True
元野木書店,飯塚,True,True
入江電器,南尾,False,True
八女茶の西村園茶舗 ゆめタウン飯塚店,菰田西,True,True
公設市場 野中鮮魚店,本町,False,True
兵六玉,伊岐須,True,True
内山刃物,中,True,True
内藤園あいタウン店,吉原町,True,True
内藤園イオン穂波店,枝国,True,True
内藤園ハローデイ九工大前店,川津,True,True
千鳥屋本家 幸袋店,幸袋,True,True
千鳥屋本家 飯塚本店,本町,True,True
友成時計店,飯塚,False,True
古谷金物店,新立岩,True,True
合屋電器店,菰田西,True,True
吉岡スタジオ,伊岐須,False,True
味の明太子ふくや飯塚店,吉原町,True,True
味楽門ＢＯＮ,弁分,False,True
味覚焼,本町,True,True
和風ダイニングとし,飯塚,True,True
和食レストランニューいいづか・大助うどん,川津,False,True
唐揚げ専門店とりいち,小正,False,True
喜酒楽膳あぐら,飯塚,True,True
喫茶りーぶす,下三緒,False,True
喫茶グラスムーン,吉原町,False,True
回転寿司 一太郎,鯰田,True,True
増岡化粧品店,口原,True,True
壱角屋,飯塚,False,True
大塚白蟻工務店,有井,False,True
大川家具アウトレットオックス,秋松,True,True
大庭電器,鯰田,True,True
大豆の花,有井,True,False
大賀薬局飯塚あいタウン店,吉原町,True,True
大阪王将 ゆめタウン飯塚店,菰田西,True,False
天喜,飯塚,True,True
天道ホルモン,天道,True,True
太田自動車鈑金㈱,阿恵,True,True
太陽キッチン・フーズ,菰田西,False,True
学生服のひめじ屋,吉原町,True,True
学生服のタナカ,飯塚,True,True
安部写真館,天道,True,True
宝靖自動車,椿,True,True
室井酒店,片島,True,True
宮脇書店 ゆめタウン飯塚店,菰田西,False,True
寺子屋 ZEN,立岩,True,True
寿し割烹 たけ志,飯塚,False,True
寿し徳,小正,True,True
寿司海鮮和食処 やますい,鶴三緒,True,True
寿屋化粧品店,本町,False,True
小さなゆめ,柏の森,True,True
小林硝子店,川津,True,True
居酒屋 たーぶる,西町,True,True
居酒屋 ん,相田,False,True
居酒屋 文月,南尾,True,True
居酒屋 純,口原,True,True
居酒屋てん・てん・てん,菰田西,False,True
居酒屋二代目きんぐ,東徳前,True,True
居酒屋佐助,新飯塚,True,True
居酒屋味坊,東徳前,True,True
居酒屋和光,吉原町,False,True
居酒屋専科大樹,柏の森,True,True
居酒屋落花生,上三緒,True,True
山下建材工業(株),菰田西,False,True
山本酒店,赤坂,False,True
山野愛子どろんこ美容＆Relax Plus,西町,True,True
帽子のほりかわ,本町,False,True
庄内タクシー,赤坂,False,True
庄内地区,,True,True
庄助うどん,阿恵,False,True
庄四季物,綱分,True,True
庄屋ゆめタウン飯塚店,菰田西,True,True
庄屋飯塚店,西徳前,True,True
御菓子司亀屋延永,忠隈,True,True
志ののめ,柏の森,True,True
手づくりケーキラ・パレット,新飯塚,True,True
手づくりパン工房スピカ,菰田西,True,True
手打うどん・レンストランなごし,川津,True,True
手造りバーガーショップ レイダック,片島,True,True
揚げ処えびるす,新飯塚,True,True
文具のたまおき本店,堀池,True,True
日新理容室,本町,False,True
日本習字筑穂教室,筑穂元吉,True,True
旬彩ダイニング 樹限無,宮町,True,True
旬楽みささ,新飯塚,True,True
時計宝石眼鏡ムカイダ,新飯塚,True,True
有限会社 筑穂プロパン,大分,False,True
有限会社みよし,本町,False,True
朝倉屋酒店,宮町,True,True
木下石油,平塚,False,True
木原コンタクト,伊岐須,True,True
本場インド料理ルパ穂波店,秋松,True,True
本格インド料理ルパ飯塚店,川津,True,True
東洋ドライ ハローデイ店,川津,True,True
東洋ドライ 川津店,川津,True,True
東洋ドライ 新飯塚店,新飯塚,True,True
松本刃物店,東徳前,False,True
松隈食料品店,勢田,False,True
林檎の木,潤野,True,True
株式会社日栄,蓮台寺,False,True
桜ヶ丘ゴルフセンター,枝国,False,True
楳木石油,高田,True,True
楽市焼肉ホルモンセンター,楽市,False,True
武田商店,下三緒,False,True
江藤時計店本店,菰田西,True,True
江藤石油(株),忠隈,True,True
江藤電器,長尾,False,True
洋服の青山飯塚穂波店,弁分,True,True
深見時計店,新飯塚,True,True
清水理容室 チャボ,堀池,True,True
渡辺果実店,菰田西,True,True
渡邊硝子建材,徳前,False,True
温野菜 飯塚店,枝国,True,True
湊屋（みなとや）,相田,True,True
濃厚生乳ソフトクリーム専門店だがソフ,飯塚,True,True
炉ばた髙,吉原町,True,True
炒めラーメンYAMA,伊岐須,True,True
炭バル ダブル,本町,True,True
炭火串焼弥一,新飯塚,True,True
炭火居酒屋やっぽい,新飯塚,False,True
炭火居酒屋喜楽,目尾,True,True
炭火焼肉嘉苑,柏の森,True,True
炭火焼肉天神,若菜,True,True
炭火焼鳥あらた,本町,True,True
炭火焼鳥えい吉,若菜,True,True
炭火焼鳥かなまる,柏の森,False,True
炭焼酒処幸炭,秋松,True,True
焚炎 竹や,忠隈,False,True
無印良品かやの森,柏の森,True,True
焼肉のMr.青木,鶴三緒,False,True
焼肉のすから,鶴三緒,True,True
焼肉スタミナ・元,川津,False,True
焼肉ソウル,川津,True,True
焼肉レストラン牛仙,川津,True,True
焼肉王城飯塚店,立岩,True,True
焼肉開山堀池店,堀池,False,True
焼肉開山庄内店,綱分,False,True
焼鳥千成,枝国,True,True
煮込み食堂 煮こ屋,東徳前,False,True
熾火ト酒,本町,True,True
牛角飯塚店,潤野,True,True
玉翠堂,片島,True,True
珈琲焙煎工房 まめや福岡ユタカ,西徳前,True,True
田中糸店,飯塚,True,True
癒心房,忠隈,True,True
矢野鮮魚店,飯塚,True,True
石井商会,菰田西,False,True
祭りばやし,柏の森,True,True
福寿し,川津,False,True
福祉用具おおつか 飯塚営業所,忠隈,False,True
秋元液化ガス,目尾,False,True
穂波地区,,True,True
竹川鮮魚,本町,True,True
第一タイヤサービス,横田,True,True
第一ボウル,片島,True,True
筑穂地区,,True,True
筑豊ラーメン山小屋穂波店,楽市,False,True
筑豊葬祭セレモニーヴィラ穂波斎場,太郎丸,True,True
筑豊葬祭セレモニーヴィラ飯塚,菰田西,True,True
筑豊葬祭飯塚本社斎場,菰田西,True,True
篠崎商会,天道,True,True
緒方たたみ店,枝国,False,True
美・サロン きはら,枝国,True,True
肉のつちだ,菰田東,False,True
肉のなかむら,鯰田,False,True
肉の神戸屋,飯塚,True,True
能古うどん製造所 ゆめタウン飯塚店,菰田西,False,True
花のフクナガ穂波店(ハローデイ穂波店内),秋松,False,True
花のフクナガ西町本店,西町,False,True
花のフジモト,飯塚,True,True
花和,芳雄町,True,True
若鳥,飯塚,False,True
茶寮このみ,潤野,True,True
茶楽館この葉,潤野,True,True
華さん食堂飯塚店,川津,False,True
萬亀,潤野,False,True
藤﨑建築,横田,True,True
街家ｃａｆｅつむぎ,本町,True,True
認定補聴器専門店 リオネットセンター飯塚,吉原町,False,True
赤崎牛ダイニング リヤン,新飯塚,True,True
車力,相田,True,True
車屋19,横田,False,True
農楽園八木山,八木山,True,True
酒の昌屋,川津,True,True
酒肴むげん,中,True,True
酒菜よし葉,柏の森,True,True
酒香彩菜さわらび,飯塚,False,True
金沢石油(株) セルフ飯塚東店,有安,True,True
金芳醤油醸造元,口原,True,True
鉄板焼 梛座,柏の森,True,True
陶房 八木山 青空間,八木山,True,True
陸蒸氣,柏の森,False,True
雑貨牧場GAYU,菰田東,True,True
靴の赤靴堂,菰田西,True,True
韓国風居酒屋 オンマ,楽市,False,True
音楽BAR BREAK TIME,吉原町,True,True
頴田地区,,True,True
飛鳥会館,片島,True,True
食事処 桜道場,潤野,True,True
食房KOSAI,南尾,True,True
食料品の進藤,飯塚,False,True
飯塚ツバメプロパン㈱,立岩,False,True
飯塚地区,,True,True
飯塚瓦工業,鶴三緒,True,True
餃子とサワー 月光,飯塚,True,True
驫(さんま),忠隈,True,True
高取金物店,飯塚,True,True
魚佐,飯塚,True,True
魚茂鮮魚店,飯塚,True,True
鮨 魚城,楽市,False,True
鮨 魚鮮,枝国,True,True
鮨安,飯塚,False,True
鰻一太郎,鯰田,True,True
鳥一,吉原町,True,True
麺屋．千寿 本店,枝国,False,True
麻生塾スポーツガーデン,柏の森,True,False
麻生塾ボウル,柏の森,True,True
龍王ガス,横田,True,True
龍王塾,吉原町,True,True
（一社）飯塚観光協会,吉原町,True,True
（有）建築工房やました屋,横田,True,True
３びきのこぶた,南尾,True,True
Ａゴルフセンター,平恒,True,True
Ａープライス飯塚店,堀池,True,True
ＢＡＲＢＥ,新飯塚,True,True
ＢＡＲＢＥＲひかり,立岩,False,True
Ｃ．Ｃ．ＳＥＴＯ,中,False,True
ＣＯＲＯＮ,口原,False,True
Ｈｉｙｏｒｉ,片島,True,True
ＪＡふくおか嘉穂庄内給油所,綱分,False,True
ＪＡふくおか嘉穂本所グリーンセンター,小正,False,True
ＭＥＧＡドン・キホーテ飯塚店,椿,True,True
ＰＯＬＡアメリーズ店,横田,True,True
Ｐｓ 美容室,吉原町,True,True
ＲＲＲエンターテイメント,本町,True,True
ＲａｙーｇーＣａｓｔ（レイジーキャスト）,下三緒,True,True
Ｒｕｄｉｅｓ ｃａｆｅ（ルーディーズ カフェ）,吉原町,True,True
Ｓｗｅｅｔ’ｓ ｏｆ ｈａｉｒ,有安,True,True
ＴＥＴＥ,新飯塚,True,True
Ｙｕｍｍｙ Ｃａｋｅｓ,平塚,True,True
ｙｏｕｒ メルシー,柏の森,False,True
