name,category,address_raw,address,phone,website,facebook,instagram,digital,paper
Café＆Restaurant Salute（サルーテ）,カフェ・レストラン,立岩,〒820-0003 福岡県飯塚市立岩1668,0948-52-3966,https://restaurant-salute.com,https://www.facebook.com/Cafe & Restaurant Salute,,False,True
CuLuRe(クルール),雑貨店,堀池,〒820-0070 福岡県飯塚市堀池179-2,0948-21-3750,https://culure.jp/cafeculure/,,,True,True
Cut in Murashi,美容室,飯塚,,,,,,True,True
DartsBar333,ダーツバー,新飯塚,〒820-0005 福岡県飯塚市新飯塚13-2,0948-52-7355,,,https://www.instagram.com/darts_iizuka1118,True,True
Dr Hair Smiley,美容室,柏の森,〒820-0011 福岡県飯塚市柏の森473-1,0948-29-2777,https://dh-smiley.com,,,True,True
E-REVO卓球BASE,卓球クラブ,本町,〒820-0028 福岡県飯塚市本町13-8 飯塚SSビル5F,,,,https://www.instagram.com/erevo_ttakkyu/,True,True
ENEOSサンフラワー楽市SS（山口石油）,ガソリンスタンド,楽市,〒820-0074 福岡県飯塚市楽市231-1,0948-22-2483,,,,True,True
Flower&Green POPLAR,花屋,枝国,〒820-0081 福岡県飯塚市枝国464-31,0948-26-1787,,,,True,True
GYOGYOSUKE second,不明,柏の森,〒820-0011 福岡県飯塚市柏の森532-3柏の森広場C,0948-22-2128,,,,True,True
KAIKA ゆめタウン飯塚店,不明,菰田西,〒820-0017 福岡県飯塚市菰田西3丁目6−1 ゆめタウン飯塚 1F,0948-52-6190,,,https://www.instagram.com/kaika_878/,True,True
Life Clip(ライフクリップ),文具・雑貨販売,菰田西,〒820-0017 福岡県飯塚市菰田西3丁目6-1,0948-43-9250,https://www.tamaoki.co.jp,,,True,True
M r.青木精肉店,精肉店,鶴三緒,〒820-0014 福岡県飯塚市鶴三緒1117-1,0948-24-5345,https://mr-aoki.jp/index.html,,,False,True
Modernist Cuisine Restaurant Hidaka,フランス料理レストラン,赤坂,〒820-0106 福岡県飯塚市赤坂736-10,0948-80-6333,,,modernist.cuisine.cuisine_restaurant,True,True
PATISSERIE Doux,ケーキ屋,柏の森,〒820-0011 福岡県飯塚市柏の森473-6,0948-26-5077,,,https://www.instagram.com/patisserie_doux,True,True
R－GARDEN+,不明,吉原町,〒820-0040 福岡県飯塚市吉原町11-1,080-3255-3364,,,https://www.instagram.com/r_garden_plus,True,True
TAX飯塚,自動車販売,楽市,〒820-0074 福岡県飯塚市楽市597-5,0948-24-0768,https://tax-iizuka.com,,,True,True
TRIAL GO飯塚幸袋店,ディスカウントストア,幸袋,〒820-0066 福岡県飯塚市幸袋464-1,0120-509-050,https://www.trial-net.co.jp/shops/668/,,,True,True
TRIDRUG GO目尾店,ドラッグストア,口原,〒820-1114 福岡県飯塚市口原591-6,0948-96-3366,https://www.trial-net.co.jp/shops/371/,,,True,True
TeaWayゆめタウン飯塚店,タピオカ専門店,菰田西,〒820-0017 福岡県飯塚市菰田西3-6-1 ゆめタウン飯塚1F,0948-43-2808,https://teaway.jp/,,,True,True
WHISKY AJOTSSI,ウイスキー専門店,飯塚,〒820-0041 福岡県飯塚市飯塚12-20,080-4674-4295,,,https://www.instagram.com/ajotssi_spirits/,True,True
Zoff Marche ゆめタウン飯塚,その他,菰田西,〒820-0017 福岡県飯塚市菰田西3丁目6番1号 ゆめタウン飯塚 2F,0948-52-6528,https://www.zoff.co.jp/shop/store/11346,,,True,True
aruk cafe,その他,川津,〒820-0067 福岡県飯塚市川津271-2,0948-23-5558,https://arukurashi.com,,,True,True
arukーある暮らしー,その他,川津,〒820-0067 福岡県飯塚市川津271-2,0948-23-5558,https://arukurashi.com,,,True,True
charmmie,ペットサロン・トリミング,枝国,〒820-0081 福岡県飯塚市枝国518-1,0948-24-5511,https://charmmie.jp,,,True,True
tantan イオン穂波店,レディスファッション・セレクトショップ,枝国,〒820-0081 福岡県飯塚市枝国長浦666-48 イオン穂波ショッピングセンター1F,0948-26-1715,,,,True,True
tete秋松店,美容室,秋松,福岡県飯塚市秋松889-1,,https://tete.plus,,,True,True
universal工房HRS,中古車販売,若菜,〒820-0082 福岡県飯塚市若菜249-1,0948-52-8051,https://hrscarshop.shopinfo.jp,,,True,True
あかね工房,精肉店,鯰田,〒820-0001 福岡県飯塚市鯰田76-1,0948-22-5268,https://akanekobo.studio.site,,,True,True
あかね荘,和牛割烹,山口,〒820-0711 福岡県飯塚市山口611-2（サンビレッジ茜入口）,0948-72-0903,https://hiizuru-akane.com,,,True,True
あぐらの離れ,居酒屋,芳雄町,〒820-0018 福岡県飯塚市芳雄町1-11,0948-22-3313,,,,True,True
あげ家,居酒屋,相田,〒820-0052 福岡県飯塚市相田101-13,0948-29-1990,,,https://www.instagram.com/umakamon1130,False,True
あさひ補聴器,補聴器販売,宮町,〒820-0069 福岡県飯塚市宮町14-6,0948-25-7843,https://asahi-ha.com,,,True,True
あったかパソコン教室飯塚校,教育・学習支援業,椿,〒820-0084 福岡県飯塚市椿123-7,0948-26-1441,https://attaka55.sakura.ne.jp,,,True,True
あんど,不明,吉原町,〒820-0026 福岡県飯塚市吉原町8-8,0948-23-9220,,,,False,True
いいづかもけい,模型（ホビーショップ）,菰田西,〒820-0017 福岡県飯塚市菰田西3丁目18-13,0948-24-5033,,,,True,True
いいづかスポーツ・リゾート ザ・リトリート,その他,仁保,〒820-0115 福岡県飯塚市仁保8-37,0948-82-3177,https://the-retreat.jp,,,True,True
いいづか補聴器,その他,本町,〒820-0042 福岡県飯塚市本町17-43,0948-24-3346,,,,False,True
いけす鯛吉,その他,吉原町,〒820-0040 福岡県飯塚市吉原町11-18,0948-22-2266,https://taiyoshi.com/,,,False,True
いづみや,精肉店,西徳前,〒820-0031 福岡県飯塚市西徳前9-16,0948-22-1919,,,,True,True
うぐいす台電器,家電販売,大分,〒820-0712 福岡県飯塚市大分1324-12,0948-72-1616,,,,True,True
うどんそば処あぐんちゃ,うどん・そば店,忠隈,〒820-0071 福岡県飯塚市忠隈489−1,0948-21-1188,,,,False,True
うどんそば処百花亭,うどん・そば店,柏の森,〒820-0011 福岡県飯塚市柏の森55-1,0948-29-0317,,,,False,True
うなぎの大浦屋,うなぎ料理店,吉原町,〒820-0102 福岡県飯塚市吉原町1-10,0948-23-9787,,,,False,True
うりゅう鍼灸院,鍼灸院,鯰田,〒820-0001 福岡県飯塚市鯰田564-6,0948-24-7889,,,,True,True
おしゃれハウスアモ,化粧品専門店,柏の森,〒820-0011 福岡県飯塚市柏の森516-1,0948-22-5306,,,,True,True
おでん炭火焼眞次郎,居酒屋,新飯塚,〒820-0005 福岡県飯塚市新飯塚14-2 遠賀ビル1F,0948-28-2055,,,,True,True
おの庄,寿司店,柏の森,〒820-0011 福岡県飯塚市柏の森1038-2,0948-22-7044,,,,True,True
おふくろ,和食店,本町,〒820-0042 福岡県飯塚市本町6-6,0948-22-5833,,,,False,True
お好み焼きむらた,お好み焼き,小正,〒820-0905 福岡県飯塚市小正461-11,0948-22-4870,,,,True,True
お茶とお食事処森山,和風カフェ,綱分,〒820-0101 福岡県飯塚市綱分1806-2,0948-82-3007,http://oshokuji-moriyama.com/,,,True,True
かにすけ,水産物直売所,堀池,〒820-0070 福岡県飯塚市堀池154-2,0948-26-2800,https://sanyufoods-kanisuke.com/,,,False,True
かほ兵衛の台所,ファーマーズマーケット,鶴三緒,〒820-0014 福岡県飯塚市鶴三緒1151-1,0948-52-6080,http://www.ja-f-kaho.or.jp/,,https://www.instagram.com/kahobees_kitchen,True,True
かめ屋質店,質屋（貴金属・ブランド品買取）,吉原町,〒820-0040 福岡県飯塚市吉原町7-21,0948-25-6661,https://www.kameya-shititen.com,,,True,True
かやのもり音楽Cafｅ Ｓｉｎｏｓ,カフェ,柏の森,〒820-0011 福岡県飯塚市柏の森92-350,0948-80-6194,,,@cafe.sinos,True,True
かやの森カフェ,カフェ,柏の森,〒820-0011 福岡県飯塚市柏の森1-28,0948-29-3558,https://forest-for-rest.com/kayanomori-cafe.html,,,False,True
からあげ大将飯塚本店,その他,菰田西,〒820-0017 福岡県飯塚市菰田西2-4-12,0948-23-1980,http://www.karaage-taisho.com,,,True,True
きっずえんじぇる飯塚店,その他,柏の森,〒820-0011 福岡県飯塚市柏の森542-11,0948-23-0501,,,,True,True
きど葬祭やまさ飯塚斎場,その他,潤野,〒820-0021 福岡県飯塚市潤野860-1,0948-29-4242,https://www.kidosousai.com/saijyo/iizuka/,,,True,True
きものたかた,着物屋,宮町,〒820-0069 福岡県飯塚市宮町2-7,0948-22-3121,https://kimono-takata.jp,,,True,True
くいもん家あじと,居酒屋,柏の森,〒820-0011 福岡県飯塚市柏の森649-3,0948-25-5580,https://tabelog.com/fukuoka/A4007/A400702/40033149/,,,False,True
くすりのハッピー 潤野店,ドラッグストア・調剤薬局,潤野,〒820-0021 福岡県飯塚市潤野885-33,0948-26-4557,,,,True,True
くすりのハッピー川津店,ドラッグストア,川津,〒820-0067 福岡県飯塚市川津266-2,0948-28-5562,https://map.sinseido-co.jp/detail/310/,,,True,True
くすりのハッピー庄内店,調剤薬局併設型ドラッグストア,有安,〒820-0111 福岡県飯塚市有安691,0948-82-2480,https://map.sinseido-co.jp/detail/330/,,,True,True
くすりのヤスタケ穂波店,ドラッグストア,枝国,〒820-0081 福岡県飯塚市枝国長浦666-48 イオン穂波店1F,0948-26-1721,,,,True,True
くにまる酒店,酒販店,津原,〒820-0086 福岡県飯塚市津原649-5,0948-25-3033,,,,False,True
くまがい釣具,釣具店,鯰田,〒820-0001 福岡県飯塚市大字鯰田461-9,0948-22-0833,https://f-kumagai.jp,,,True,True
くらや,うどん・そば屋,仁保,〒820-0115 福岡県飯塚市仁保8,0948-82-3839,,,,True,True
けいこ美容室,教育・習い事,新飯塚,〒820-0103 福岡県飯塚市新飯塚8-12,,,,,False,True
げんき屋,飲食店,川津,〒820-0067 福岡県飯塚市川津283-1,080-3372-0209,https://y-genkiya.com/,,https://www.instagram.com/yakitori_genkiya/,True,True
ご馳走家むつごろう,居酒屋・寿司,新飯塚,〒820-0005 福岡県飯塚市新飯塚15-5,0948-22-3816,https://mutugorou.jp,,,True,True
さかえ屋 平恒おやつshop,お菓子販売店,平恒,〒820-0073 福岡県飯塚市平恒432-6,0948-22-1802,http://sakaeya.co.jp,,,False,True
しまづ者,海鮮居酒屋,本町,〒820-0042 福岡県飯塚市本町8-7,0948-21-0197,,,,True,True
しらゆり会館小竹・頴田会場,葬儀式場,勢田,〒820-1111 福岡県飯塚市勢田1089-1,0948-92-1919,https://www.yamasou1919.co.jp/ceremonial-hall/7/detail,,,True,True
しらゆり会館飯塚・上三緒会場,斎場,上三緒,〒820-0013 福岡県飯塚市上三緒871-9,0948-21-3444,https://www.yamasou1919.co.jp/ceremonial-hall/8/detail,,,True,True
しらゆり会館飯塚・鯰田会場,葬儀場,鯰田,〒820-0001 福岡県飯塚市鯰田2324-1,0948-26-3112,https://www.yamasou1919.co.jp/ceremonial-hall/9/detail,,,True,True
たい焼山口屋,その他,飯塚,〒820-0041 福岡県飯塚市飯塚18-5,0948-24-9084,,,,False,True
たこ吉,その他,本町,〒820-0042 福岡県飯塚市本町13-30,0948-22-4169,,,,False,True
たまごん工房,その他,佐與,〒820-1113 福岡県飯塚市佐与1709-2,0948-92-6844,https://www.rannoshou.jp,,https://www.instagram.com/tamagonfactory/,True,True
たまや毛糸店,毛糸店,本町,〒820-0042 福岡県飯塚市本町8番26号,,,,,False,True
だがしのお店だがシステム,駄菓子屋,飯塚,〒820-0041 福岡県飯塚市飯塚12-20ファインウエストビル1F 店舗E,090-2396-4128,,,@dagasystem,True,True
だがし家 ちゃりんこ,駄菓子屋,菰田西,〒820-0070 福岡県飯塚市堀池29-1 ゆめタウン飯塚 2階,,https://www.dagashiyacharinko.com/shops,,,False,True
ちろりん村とくるみの木,洋食屋,幸袋,〒820-0066 福岡県飯塚市幸袋239,0948-24-5810,http://chirorinmura.cafe.coocan.jp/,,,False,True
てんぐ風呂住設,住宅設備販売・修理,菰田西,〒820-0017 福岡県飯塚市菰田西3丁目3-2,0948-22-3665,https://www.iizukatengufuro-jyaguchi.com,,,False,True
でんきのパワフル相田店,家電量販店,相田,〒820-0052 福岡県飯塚市相田3-38,0948-24-0192,,,,True,True
ともや玩具店,おもちゃ屋,飯塚,〒820-0041 福岡県飯塚市飯塚12-14,0948-22-1271,http://tomoya-doll-toy.com/,,,True,True
とりさし梅松 福岡飯塚店,不明,本町,,,,,,True,True
とり久,飲食店（弁当仕出し・料理仕出し）,小正,〒820-0089 福岡県飯塚市小正554-1,0948-25-5003,,,,True,True
とんかつ専門店うめーや,とんかつ専門店,太郎丸,〒820-0076 福岡県飯塚市太郎丸523-4,0948-24-6731,,,,False,True
とんかつ専門店ふくや,その他,本町,〒820-0042 福岡県飯塚市本町5-17,0948-22-2022,,,@fukuya_iizuka,False,True
どんどん亭 柏の森店,その他,柏の森,〒820-0011 福岡県飯塚市柏の森162-3,0948-28-8512,https://www.dondontei.com/shop/kayanomori-fukuoka/,,,True,False
なか六新鮮屋,その他,阿恵,〒820-0704 福岡県飯塚市阿恵360,0948-52-6183,,,,True,True
なんばん往来本店,洋菓子店,堀池,〒820-0070 福岡県飯塚市堀池128-1,0948-26-0111,https://nanban-ourai.com/pages/store-info,,,True,True
にくたま工房Loin,おにぎり店,飯塚,〒820-0017 福岡県飯塚市菰田西1-9-12,090-3416-4413,,,https://www.instagram.com/nikutama.koubou.loin4413,False,True
にこにこ亭,飲食店,中,〒820-0065 福岡県飯塚市中431-6,0948-25-1810,,,,True,True
にじいろ整体セラピー,整体院,飯塚,〒820-0041 福岡県飯塚市飯塚18-3元野木書店ビル1F,090-4241-9480,,,,True,True
のがみプレジデントホテル,ホテル・宿泊業、飲食業、婚礼・宴会場,新立岩,〒820-0004 福岡県飯塚市新立岩12-37,0948-22-3840,http://www.nogami-p-hotel.jp,,,True,True
のがみプレジデントホテル 中国料理のがみ大飯店,中国料理店,新立岩,〒820-0004 福岡県飯塚市新立岩12-37,0948-22-3840,http://www.nogami-p-hotel.jp/restaurant/rest2.php,,,True,True
のがみプレジデントホテル 和食処 日本海,和食店,新立岩,〒820-0004 福岡県飯塚市新立岩12-37 のがみプレジデントホテル 1F,0948-22-3840,http://www.nogami-p-hotel.jp/restaurant/rest1.php,,,True,True
はちみつショップ natural selection acatuki,はちみつ販売,山倉,〒820-0101 福岡県飯塚市山倉1449-1,0948-27-5588,https://natural-selection-acatuki.com/,,https://www.instagram.com/natural_selection_acatuki/,True,True
はとや ルナ店,衣料品店,本町,〒820-0042 福岡県飯塚市本町10-18,0948-29-0747,,,,True,True
はないちもんめ,洋菓子店・カフェ,堀池,〒820-0070 福岡県飯塚市堀池155-8,0948-24-1232,,,,True,True
ひいらぎ,鮮魚店,本町,福岡県飯塚市本町15-33,0948-25-6196,,,,False,True
ひよ子本舗吉野堂 ゆめタウン飯塚店,菓子販売店,菰田西,〒820-0017 福岡県飯塚市菰田西3-6-1,0948-52-6773,,,,True,True
ひよ子本舗吉野堂 イオン穂波店,菓子販売,枝国,〒820-0081 福岡県飯塚市枝国666-48 イオン穂波1F,0948-26-1245,,,,True,True
ひよ子本舗吉野堂 飯塚工場売店,和菓子屋,楽市,〒820-0074 福岡県飯塚市楽市538-1,0948-23-0745,https://www.hiyoko.co.jp/company/factory.html,,,True,True
ひよ子本舗吉野堂 飯塚本店,和菓子屋,本町,〒820-0042 福岡県飯塚市本町15-1,0948-22-0145,http://hiyoko.co.jp/,,,True,True
ふくおか安心安全ショップ,その他,小正,〒820-0089 福岡県飯塚市小正60-1,0078-6045-3762,,,,True,True
ふくまＤＥＮＫＩ,家電量販店,中,〒820-0065 福岡県飯塚市中335-1,0948-22-3965,,,,True,True
ふたせ饅頭本舗,和菓子屋,伊岐須,〒820-0053 福岡県飯塚市伊岐須295-13,0948-22-1384,http://www.futaman.com,,,True,True
ふらってぃーのドッグカフェ,ドッグカフェ,中,〒820-0065 福岡県飯塚市中353,0948-43-9028,https://www.flattyroom.com/dogcafe.html,,,True,True
ふらんす料理 平野,フランス料理店,上三緒,〒820-0013 福岡県飯塚市上三緒443-146,0948-21-2192,https://hirano-fr.com,https://www.facebook.com/fr.hirano/,,True,True
ほとめき市場 一太郎,鮮魚店,鯰田,〒820-0001 福岡県飯塚市鯰田1646-43,0948-22-6611,http://1taro.jp/hotomeki/,,,True,True
まるまんフィオーレ,化粧品販売,菰田西,〒820-0017 福岡県飯塚市菰田西3丁目6番1号 ゆめタウン飯塚店 1F,0948-52-3426,https://www.maruman-fiore.co.jp/shop/iiduka/,,,True,True
みそらぼ,味噌加工品販売,横田,〒820-0044 福岡県飯塚市横田515-1 ラグエクリュA-3,050-5216-3400,https://misolabo.com,,,True,True
みどりや,繊維/衣料/装飾品店,本町,〒820-0042 福岡県飯塚市本町15-7,0948-22-1903,,,,False,True
みんなでごはん 穂のさろん,その他,弁分,〒820-0088 福岡県飯塚市弁分340-1,0948-25-8090,https://minnnadegohannhonosaronn.jimdofree.com,,,True,True
めがねのツカハラ,メガネ販売,堀池,〒820-0070 福岡県飯塚市堀池155-3 中村ビル1F,0948-29-3610,http://meganenotsukahara.com,,,True,True
めし屋ーHAKUー,その他,潤野,〒820-0021 福岡県飯塚市潤野996,080-3957-5899,,,https://www.instagram.com/daisy20110203haku,True,True
めん処大助 花瀬店,その他,花瀬,〒820-0045 福岡県飯塚市花瀬3-1,0948-24-8872,,,,False,True
もつ家,焼肉屋,中,〒820-0065 福岡県飯塚市中350-8,0948-80-7008,,,https://www.instagram.com/motsuya_yakiniku,True,True
もつ鍋 やじろべえ飯塚店,もつ鍋居酒屋,柏の森,〒820-0011 福岡県飯塚市柏の森516の2,0948-21-0333,https://yajirobe.net,,,True,True
もりまさ薬局,調剤薬局,上三緒,〒820-0013 福岡県飯塚市上三緒177番地22,0948-21-1212,,,,True,True
もり田のからあげ,からあげ店,口原,〒820-1114 福岡県飯塚市口原338-1,0948-92-3666,,,,False,True
もり田のからあげ 穂波店,からあげ・手羽先の惣菜販売店,南尾,〒820-0072 福岡県飯塚市南尾400-2,0948-22-6566,,,,False,True
やきとり 幸ちゃん,焼き鳥屋,下三緒,〒820-0103 福岡県飯塚市下三緒35-325,,,,,False,True
やきとりの炭活,焼き鳥居酒屋,吉原町,〒820-0040 福岡県飯塚市吉原町8-47 新川ビル1階,0948-21-6070,,,,True,True
やま志,蕎麦屋,小正,〒820-0089 福岡県飯塚市小正29-1,0948-21-0738,https://www.mendokoro-yamashi.com,,,False,True
や台ずし飯塚バスターミナル本町,寿司居酒屋,吉原町,〒820-0040 福岡県飯塚市吉原町11-3,0948-21-3328,https://yossix-shop.com/detail/4088/,,,True,True
ゆめタウン飯塚,その他,菰田西,〒820-0017 福岡県飯塚市菰田西三丁目6番1号,0948-30-1200,https://www.izumi.jp/tenpo/iizuka,,,True,True
ゆめマート花瀬,その他,花瀬,,,,,,True,True
ゆめマート飯塚,食品スーパーマーケット,吉原町,〒820-0040 福岡県飯塚市吉原町6-1,0948-22-3770,https://www.youme-kitakyushu.co.jp/store/452iizuka.htm,,,True,True
よしの米穀合同会社,その他,北古賀,,,,,,True,True
わた惣,その他,本町,,,,,,True,True
アイアイだいぶ,100円ショップ,大分,〒820-0712 福岡県飯塚市大分1510-20,0948-43-2700,,,,True,True
アエナゆめタウン飯塚店,コスメ・雑貨販売,菰田西,〒820-0017 福岡県飯塚市菰田西三丁目６-１ ゆめタウン飯塚１階,0948-52-5711,https://www.aena.co.jp/shop/,,,True,True
アキモト酸素,ガス・燃料販売（プロパンガス、医療用酸素、工業用ガス等）,川津,〒820-0067 福岡県飯塚市川津95-131,0948-25-8111,http://sanso.akimoto-g.com,,,False,True
アベイル堀池店,古着屋,堀池,〒820-0070 福岡県飯塚市堀池103-2,0948-43-8086,https://www.shimamura.gr.jp/shop/map_detail_7922.html,,,False,True
アベタ・ソレイユ/ヴァーグ,レディースセレクトショップ,本町,〒820-0026 福岡県飯塚市本町2-19,0948-22-2524,,,,True,True
アラミアルーアン,まつげサロン,綱分,〒820-0101 福岡県飯塚市綱分1378-18,090-5470-8992,https://aramiah-ruang.jimdofree.com,,,True,True
アルソア Ｄｏ,美容サロン,立岩,〒820-0003 福岡県飯塚市立岩1506-12,0948-28-7290,,,,True,True
アルゾ飯塚幸袋店,食品ディスカウンター,中,〒820-0065 福岡県飯塚市中227-1,0948-55-0980,https://www.alzo.co.jp/stores/datail-0092,,,True,True
アロマ クローバー,化粧品販売,中,,,,,,False,True
アンコルド パン,パン屋,川津,〒820-0067 福岡県飯塚市川津194-2,0948-28-8206,,https://www.facebook.com/アンコルドパン,https://www.instagram.com/encore_du_pain.1996,True,True
アンジョルノカフェ,カフェ,新飯塚,〒820-0005 福岡県飯塚市新飯塚7-33,0948-23-8011,,,,True,True
アントス（株）,シロアリ駆除・害虫駆除業,上三緒,〒820-0013 福岡県飯塚市上三緒172-1,0948-29-3535,https://antoss.jp,,,True,True
アートギャラリー紅椿,和雑貨販売,本町,〒820-0042 福岡県飯塚市本町16-8,0948-22-1660,,,,True,True
アーユルヴェーダサロンエルフローラ,アーユルヴェーダサロン,宮町,〒820-0069 福岡県飯塚市宮町2-8 2F,0948-43-8864,http://elflora7.sakura.ne.jp/index.html,,,True,True
アールテックシステム株式会社,不明,川津,〒820-0067 福岡県飯塚市川津369-3,0948-23-1769,,,,True,True
イエローハット飯塚店,その他,若菜,〒820-0082 福岡県飯塚市若菜263-23,0948-22-3555,https://www.yellowhat.jp/yellowhat/store/store_information?store_code=0531,,,True,True
イオン穂波ショッピングセンター,その他,枝国,〒820-0081 福岡県飯塚市枝国長浦666-48,0948-26-1717,http://honami.aeonkyushu.com,,,True,True
イオン穂波店ショッピングセンター同友店会,その他,枝国,〒820-0081 福岡県飯塚市枝国長浦666-48,,,,,False,True
インテリアクラヤ,カーテン専門店,飯塚,〒820-0041 福岡県飯塚市飯塚12-9,0948-23-0818,https://interior-kuraya.jimdo.com/,,,True,True
ウエスト飯塚店うどんコーナー,その他,枝国,〒820-0081 福岡県飯塚市枝国216-4,0948-29-1946,https://www.shop-west.jp/store/detail.php?id=29,,,True,True
ウエスト飯塚店焼肉コーナー,焼肉店,枝国,〒820-0081 福岡県飯塚市枝国216-5,0948-25-1220,https://www.shop-west.jp/store/122.html,,,True,True
エクセルブランチ,洋食店,枝国,〒820-0081 福岡県飯塚市枝国218-1,0948-24-8139,,http://www.facebook.com/excelbranch,,False,True
エステサロン シャルール,エステサロン,柏の森,〒820-0011 福岡県飯塚市柏の森473-6,0948-29-5011,https://tabelog.com/fukuoka/A4007/A400702/40049036/,,,True,True
エステサロンKENKEN,エステサロン,枝国,〒820-0081 福岡県飯塚市枝国363-3,090-9476-4034,https://www.salonkenken.com,,,False,True
エディオン飯塚店,家電量販店,弁分,〒820-0088 福岡県飯塚市弁分16-1,0948-26-0725,https://search.edion.co.jp/e_store/spot/detail?code=0000000973,,,True,True
エトウ時計店 イオン穂波店,時計宝石販売,枝国,〒820-0081 福岡県飯塚市枝国666-48 イオン穂波店1F,0948-22-6622,https://eto-group.net,,,True,True
エム・ドリーム,洋服店,本町,〒820-0042 福岡県飯塚市本町14-5,0948-24-6882,,,,False,True
エースタクシー,タクシー,有井,〒820-0112 福岡県飯塚市有井212-1,0948-31-1990,,,,True,True
オアシス珈琲,その他,堀池,〒820-0070 福岡県飯塚市堀池133-9,0948-26-1555,https://oasis-coffee.net/company/,,,True,True
オレンジタクシー(株),その他,川津,〒820-0067 福岡県飯塚市川津367-2,0948-22-0023,https://www.orangetaxi-iizuka.com/,,,False,True
オンデーズ イオン穂波店,眼鏡・サングラス販売,枝国,〒820-0081 福岡県飯塚市枝国長浦666-48 イオン穂波ショッピングセンター 2F,0120-900-298,https://www.owndays.com/jp/ja/shops/544,,,True,True
オートバックス飯塚,カー用品店,堀池,〒820-0070 福岡県飯塚市堀池249-1,0948-28-2622,https://shop.autobacs.com/ja/retail/shops/510757,,,True,True
オーラッキーズクラブ,その他,川津,〒820-0067 福岡県飯塚市川津730,0948-26-5577,https://gas777.jp/carlife/oluckys-club/,,,True,True
カットハウスゼロ,美容室,伊岐須,〒820-0053 福岡県飯塚市伊岐須157,0948-23-4813,,,,False,True
カメラのキタムラ ゆめタウン飯塚店,写真機・写真材料小売業,菰田西,〒820-0017 福岡県飯塚市菰田西3丁目6番1号ゆめタウン飯塚2階,0948-43-4363,https://www.kitamura.jp/,,,True,False
カラオケともやん,カラオケ店,本町,〒820-0028 福岡県飯塚市本町16-25,0948-22-5678,,,,False,True
カラオケリズミカル サンタス飯塚店,カラオケボックス,中,〒820-0065 福岡県飯塚市中330-1,0948-43-9400,https://sharekara.com,,,True,True
カラオケ＆カフェ ＲＥＶＯ,カラオケボックス,柏の森,〒820-0011 福岡県飯塚市柏の森56番11号,0948-43-8806,http://revo33.jp,,,True,True
カレーショップ華月,カレー店,吉原町,〒820-0040 福岡県飯塚市吉原町10-10,0948-22-2848,,,,False,True
カレーハウスCoCo壱番屋飯塚柏の森店,カレー専門店,柏の森,〒820-0011 福岡県飯塚市柏の森153番地3,0948-26-0006,,,,False,True
カレーハウスＣＯＣＯ壱番屋飯塚若菜店,カレー専門店,若菜,〒820-0082 福岡県飯塚市若菜200-10,0948-21-3455,https://tenpo.ichibanya.co.jp/map/2745/,,,False,True
カーネル食堂,東南アジア料理店,本町,〒820-0042 福岡県飯塚市本町7-28 ザ・ズームビル 2F,,,https://www.facebook.com/カーネル食堂-112589980447974/,https://instagram.com/karnelshokudou,False,True
ガスのアイプロ,LPガス販売,枝国,〒820-0081 福岡県飯塚市枝国507番地,0948-22-1234,https://www.i-pro.co.jp,,,True,True
キャスティング飯塚店,釣具店,枝国,〒820-0081 福岡県飯塚市枝国216-4,0948-22-0101,http://castingnet.jp/,,,True,True
クイックショット,写真スタジオ,立岩,,070-9122-3644,https://quickshot.shopinfo.jp,,,True,True
