店舗名称,エリア,券種,place_name,formatted_address,lat,lng,category,display_category,phone,official_url,google_maps_url,google_summary,raw_description,description,instagram_url,tiktok_url,x_url,facebook_url,youtube_url,line_url,tabelog_url,hotpepper_url,jalan_url
深見時計店,新飯塚,both,深見時計・宝石・メガネ店,〒820-0005 福岡県飯塚市新飯塚１７−１０,33.6432806,130.6912797,宝飾店,ショッピング,0948-22-3826,,https://www.google.com/maps/place/?q=place_id:ChIJJ8lWcCN-QTURQm3I9D-dTZE,施設の利用者さんの音声腕時計の電池交換に一年に一回行ってます。店主さんも親切、一流の職人さんて感じで仕事も丁寧です。奥様も気さくな方でずっとお話しして下さって、待ち時間も苦にならなかったですよ。 / 時計の修理の件でこの欄が目にとまり行って来ました。 質問に丁寧にわかりやすく説明して頂き、安心してお任せ出来るお店だなぁと思いました。 ご夫妻の温かい対応がとても嬉しかったです。,深見時計店は福岡県飯塚市の時計・宝石・メガネ店です。販売と修理に対応しており、営業時間は9:00～19:00（定休日：日曜日・正月）。新飯塚駅西口から徒歩約4～5分でアクセス可能。駐車場あり。電話：0948-22-3826,時計・宝石・メガネの販売・修理を行う店舗。営業時間9:00～19:00、日曜定休。新飯塚駅徒歩4分、駐車場あり。,,,,,,,,,
セブンイレブン飯塚鯰田上町店,鯰田,both,セブンイレブン 飯塚鯰田上町店,〒820-0001 福岡県飯塚市鯰田１９５６−３,33.6668973,130.7001277,コンビニ,コンビニ・スーパー,0948-29-2877,https://www.sej.co.jp/,https://www.google.com/maps/place/?q=place_id:ChIJebw67sHVQzUR4Od3xTdL4y8,"Pit stop for snacks, drinks & daily essentials / こちらの「鯰田上町店」様は、 店員さん達の接客姿勢がソフトで 買い物しやすいですね。 ～ 但したまに、他の方のコメントに あります様に お客様が待っておるのに 店員さんが棚作業に多忙で レジの処 / 店員の質は星一つもつけたくない。 客の多い時間帯、レジで行列になっているのに、他の店員はレジも開けず菓子の品出し。 やっと開けたと思ったら行列の先頭にいる客を案内すべきなのに、その辺にいた客を会計",福岡県飯塚市鯰田1956-3にあるセブン-イレブン店舗。ガシャポン「怒ったわんちゃあぁぁん」取扱い確認。鯰田駅近くで住宅地に立地し、不動産情報で徒歩10分圏内と記載。標準的なコンビニサービスを提供。,福岡県飯塚市鯰田1956-3にあるセブン-イレブン店舗。ガシャポン「怒ったわんちゃあぁぁん」取扱い確認。,,,,,,,,,
農楽園八木山,八木山,both,農楽園八木山,〒820-0047 福岡県飯塚市八木山２５９,33.639203,130.61974,農産物直売所,グルメ・飲食,0948-25-3353,https://www.nourakuen-yakiyama.com/,https://www.google.com/maps/place/?q=place_id:ChIJCXaKfsyBQTURe985kWmTBK8,お米や野菜がありました。 野菜は直売所だけに安いて品が良いと思います。😊 同じ敷地にあるホットドッグ🌭美味そうでした。🫡 / 追記! 糟屋から飯塚に抜ける途中で立ち寄りました! 主人の大好きなスモモが安く売られていたので購入🍑 めっちゃ甘くて美味しいって一人で完食された〜 もっと買っておけばよかったです😅💧 久しぶりの八木,福岡県飯塚市八木山にある農産物直売所。新鮮な地元産野菜や果物、季節の農産物を低価格で販売。八木山地区の農家が運営し、直売による新鮮さと安さが特徴。地元客に人気の小さな直売所。,福岡県飯塚市八木山にある農産物直売所。新鮮な地元産野菜や果物、季節の農産物を低価格で販売。,,,,,,,,,
でんきのパワフル相田店,相田,both,Panasonic shop でんきのパワフル相田店,〒820-0052 福岡県飯塚市相田３−３８,33.6595232,130.6682982,生活雑貨,ショッピング,0948-24-0192,,https://www.google.com/maps/place/?q=place_id:ChIJBytJL9Z_QTURwZXOUfieS9o,,福岡県飯塚市相田3-38にある家電店。電話0948-24-0192。パナソニックの店「電気のリズ・トーチク相田店」と同一住所で「でんきのパワフル相田店」とも表記。浦田駅近く、その他電器/パソコンカテゴリ。口コミ1件あり(3.22)。,福岡県飯塚市相田3-38にある家電店。電話0948-24-0192。,,,,,,,,,
メガネのＷＡＤＡ,潤野,both,（株）メガネのWADA,〒820-0021 福岡県飯塚市潤野３１５−１,33.6301916,130.655872,健康・医療,美容・健康,0120-252-632,https://www.megane-wada.com/,https://www.google.com/maps/place/?q=place_id:ChIJTc6DFaR_QTURFO4bqdj6lPY,,福岡県飯塚市潤野53-1に所在。営業時間9:00～20:00、元旦のみ休業。駐車場150台完備、各種クレジット対応。JR飯塚駅から車で10分。メガネ販売店。,福岡県飯塚市の眼鏡店。営業時間9:00～20:00、150台の駐車場完備。クレジットカード各種対応。,,,,,,,,,
ハローデイ柏の森店,柏の森,digital,ハローデイ 柏の森店,〒820-0011 福岡県飯塚市柏の森７２−７２ １Ｆ,33.642302,130.7045917,飲食店,グルメ・飲食,0948-22-8611,http://www.halloday.co.jp/1098.html,https://www.google.com/maps/place/?q=place_id:ChIJ6ZMjwhx-QTURhl2ck0k9C1k,隣にセリアがあるので便利です ハローデイなんで品質は大丈夫です！ハローデイは少し高めのお店でその分品質が良い感じなんでお値段以上のお店です けど、意外なことに飲み物は他のスーパーより微妙に安いです 田 / 買い物しやすいといつも妻が言っています。たまたまお弁当を買いに行ったのですがどれも美味しそうだし陳列もきれいでした。 ただ、レジの女性の声があまりにも小さすぎて、カード持っているか多分確認されたとは思,ハローデイ柏の森店は福岡県飯塚市のスーパーマーケット。店内にパン屋『ベーカーシェフ 柏の森』があり、約50種類のパンを販売。毎月3～5種類の新商品を投入。電話0948-22-8611。,福岡県飯塚市のハローデイ柏の森店内にあるパン屋「ベーカーシェフ 柏の森」。約50種類のパンを取り揃え、毎月3～5種類の新商品を提供しています。,,,,,,,,,
大阪王将 ゆめタウン飯塚店,菰田西,digital,大阪王将 ゆめタウン飯塚店,〒820-0017 福岡県飯塚市菰田西３丁目６−１ ゆめタウン飯塚 2F,33.6298549,130.6854965,飲食店,グルメ・飲食,0948-43-2730,https://www.osaka-ohsho.com/,https://www.google.com/maps/place/?q=place_id:ChIJs997L5d_QTURr8nFNh9u6ps,平日のランチセットをオーダーしました 店内はテーブルの上も足元も清潔です。 炒飯は具材は卵のみで醤油の味付け 黄金炒飯とのことでしたが黒炒飯？って思いました。 美味しいとは言い辛い… しかし炒めはよ / 店内は綺麗で清潔感はあります。昼のピーク過ぎだったので、お客さん3組位でしたがカウンターに座りました。注文はタッチパネルで、頼んでる後ろで配膳ロボが軽快に運んでましたw麻婆飯のセットにしました。醤油ラ,ゆめタウン飯塚2Fにある餃子専門店。国産豚肉・野菜使用の元祖焼餃子が名物。点心、炒め物、麺、丼、デザートなど多彩メニュー。営業11:00～21:00(LO20:30)、定休なし、64席、駐車場共有。,ゆめタウン飯塚2F。国産豚肉・野菜使用の元祖焼餃子が名物。点心・炒め・麺類など多彩メニュー。営業11:00～21:00(LO20:30)、定休なし、64席。,,,,,,,,,
ホワイトニングショップ飯塚店,新飯塚,both,ホワイトニング専門店 ホワイトニングショップ飯塚店,〒820-0005 福岡県飯塚市新飯塚４−１７ プレアール新飯塚 402号,33.645241,130.6924997,美容室,美容・健康,0948-80-4004,https://beauty.hotpepper.jp/kr/slnH000741974/,https://www.google.com/maps/place/?q=place_id:ChIJqyIoeDh_QTURQknt_fVUApA,清潔感のある院内と、店長さんの優しい対応にとてもリラックスできました。痛みもなく、またお願いしたいです。 / 回数を重ねるに連れて、歯がどんどん綺麗になった。 一度試すのも良いかもしれないけど、折角ならガッツリした方がいいかな。 友達からの反応も良かった！,,清潔感のある院内と、店長さんの優しい対応にとてもリラックスできました。痛みもなく、またお願いしたいです。,,,,,,,,,
ATAGOふれあいマーケット,鯰田,both,ATAGOふれあいマーケット,〒820-0001 福岡県飯塚市鯰田２５２５,33.6526674,130.7022013,飲食店,グルメ・飲食,0948-25-3771,http://www.superaso.jp/,https://www.google.com/maps/place/?q=place_id:ChIJHW23E_HVQzURdTO7AEBuZpE,必要最低限のものは手に入るので、とても良いですね。 店員さんの愛想はないですが。 近くにコンビニもないので、助かります。 / こじんまりとした店舗だけど、店員さんも丁寧な対応してくれます。,福岡県飯塚市鯰田2525-310にあるスーパーマーケット「あそう ATAGOふれあいマーケット」。営業時間9:30〜18:00、日曜定休。電話0948-25-3771。近隣にASO愛宕店あり。チラシ情報あり。,福岡県飯塚市のスーパーマーケット。営業時間9:30～18:00（日曜定休）。地域の食料品・日用品を扱う。,,,,,,,,,
ドラッグストアコスモス花瀬店,横田,both,ドラッグストアコスモス 花瀬店,〒820-0044 福岡県飯塚市横田５９９,33.6409326,130.6692725,ドラッグストア,コンビニ・スーパー,0948-30-3160,https://www.cosmospc.co.jp/shop/kyushu/fukuoka/68239.html?utm_source=google&utm_medium=businessprofile&utm_campaign=profile,https://www.google.com/maps/place/?q=place_id:ChIJUahT5cl_QTURm3F7K1PSm80,2022-05-22日更新 品揃えは豊富で駐車場も広く止めやすい 出入りは近くにMrMaxあるから夕方は混雑しやすい 女性の薬剤師さんが柔らかく丁寧に説明してくれた 一応､医療系としては好印象 / やけどをして病院は休みだしどうしようかと思いながらコスモスに行きました スタッフの方がこの薬このテープが良いと とても親身になってくれました 年末年始開いていて相談に乗ってくれてとても頼りになりますね,ディスカウントドラッグコスモス花瀬店。住所:福岡県飯塚市横田599。営業時間10:00-21:00、休業日なし。新飯塚駅から徒歩38分(2.9km)。コスメ情報サイトに掲載。,ディスカウントドラッグコスモス花瀬店。住所:福岡県飯塚市横田599。,,,,,,,,,
湊屋（みなとや）,相田,both,酒のみなとや,〒820-0052 福岡県飯塚市相田２７３−１６,33.6576116,130.6582563,酒店,グルメ・飲食,0948-23-5732,,https://www.google.com/maps/place/?q=place_id:ChIJsYK8Rdx_QTURJrkXXHE8OK4,めっちゃいいとこ見つけた。 家族経営だけど、おばちゃんも優しくてお酒もたくさんあって選ぶことができる。 ワインを購入したのだけれど、ちゃんとワインのお部屋があって管理されている。 / 相田の地で昔から営業されてる酒屋です。 特にお薦めは、樽から量り売りの焼酎。 麦、芋数種類置いてあります。個人的にお気に入りの焼酎です。,飯塚市の酒店。営業時間10:00～20:00、火曜休み、TEL:0948-23-5732。新飯塚駅から約3.6km。お酒が安く品揃え豊富でドンペリなども手頃。実家用に利用する声あり。,福岡県飯塚市の酒屋。火曜10:00～20:00営業。電話0948-23-5732。新飯塚駅から約3.6km。,,,,,,,,,
飛鳥会館,片島,both,飛鳥会館 飯塚斎場,〒820-0068 福岡県飯塚市片島１丁目７−２９,33.6423221,130.6764883,葬儀場,その他,0120-121-373,https://asukakaikan-funeral.com/,https://www.google.com/maps/place/?q=place_id:ChIJTZ9bnzR-QTURo1D3bA_Pw98,先月妻が亡くなり御世話になりました。 家族葬でしたが最初から最後まで良く気を遣っていただき本当に妻のいい葬儀が出来ました、本当にありがとうございました。 / はじめてのことで不安でしたが、プランもわかりやすくリーズナブルで、女性プランナーのかたの対応も素晴らしかったです。,飛鳥会館は福岡県飯塚市にある葬儀場。家族葬から社葬まで対応し、式場・宿泊施設・火葬場連携でワンストップサービスを提供。自社安置室完備で24時間受付。地域密着で評判良い。,飛鳥会館は福岡県飯塚市にある葬儀場。家族葬から社葬まで対応し、式場・宿泊施設・火葬場連携でワンストップサービスを提供。,,,,,,,,,
PATISSERIE Doux,柏の森,both,パティスリードゥー,〒820-0011 福岡県飯塚市柏の森４７３−６,33.6378398,130.6999774,ベーカリー,グルメ・飲食,0948-26-5077,https://instagram.com/patisserie_doux?utm_medium=copy_link,https://www.google.com/maps/place/?q=place_id:ChIJA7uBnIN_QTURmoNyjdkKRdc,Googlemapで飯塚周辺でタルトを探していたらこちらのケーキ屋さんの口コミも良かったのでお伺いしました。 ピースのみの購入でも、電話でお取り置きができた点がすごくよかったです。 タルトベースの生 / お洒落なお店でタルトのケーキが多いです。小さなお店なので平日15時で残りわずかでした。カットはやや小さめで高さがあり、ひとつ520〜550円(税込)くらいです。 苺のタルトとティラミスタルトとシューク,福岡県飯塚市柏の森473-6にあるケーキ専門のパティスリー。新飯塚駅から891m。TEL:0948-26-5077。地元スイーツ店として紹介されている。,福岡県飯塚市のケーキ専門店。新飯塚駅から891m。TEL:0948-26-5077。地元スイーツ店として人気。,,,,,,,https://s.tabelog.com/fukuoka/A4007/A400702/40059816/,,
リフォームおはりばこ,菰田西,both,おはりばこ,〒820-0017 福岡県飯塚市菰田西３丁目２−３,33.6314759,130.6887935,リフォーム,住まい・暮らし,0948-24-5873,,https://www.google.com/maps/place/?q=place_id:ChIJN8MFEUd-QTURvp0_Ex3_9KI,作業ズボンの裾直しをお願いしました。なかなかの出来上がりで満足しました。お値段も安く助かります。 洋服をリホームするならお勧めですよ。 / テレビを見ているような音はするが人がおらず。衝立の裏に寝転んだ人の足が見えた。 何度か呼び掛けたが反応がないので帰宅。別のところを探そう,福岡県飯塚市菰田西3-2-3にある洋服リフォーム専門店。電話0948-24-5873。最寄り駅は飯塚駅（徒歩約5分、334m）。衣服・裁縫修理、クリーニングを提供。ゆめタウン飯塚近く。,福岡県飯塚市の洋服リフォーム店。住所:飯塚市菰田西3-2-3。電話:0948-24-5873。飯塚駅徒歩5分。修理・クリーニング対応。,,,,,,,,,
パーソナルトレーニングスタジオ ボディブレイス,新飯塚,both,パーソナルトレーニングスタジオ ボディブレイス,〒820-0005 福岡県飯塚市新飯塚２０−７,33.6444895,130.6905693,ジム,エンタメ・レジャー,0948-29-3542,https://bodybrace2018.wixsite.com/bodybrace,https://www.google.com/maps/place/?q=place_id:ChIJV398cSN-QTURnfhIHYL3Xn8,こちらには一年間パーソナルトレーニングでお世話になり、約10キロの減量に成功しました。 二人三脚と言う表現がぴったりで歩幅を合わせて同じ方向をみながら応援してくれます。 うまくいっているときは喜びを共 / トレーナーが超イケメンで、ちなみに34歳だと聞いたょ。,福岡県飯塚市のパーソナルトレーニングスタジオ。プチプロスSR1Fに位置する。パーソナルトレーニングサービスを提供しており、フィットネス・スポーツ関連の施設。,飯塚市のパーソナルトレーニングスタジオ。住所:福岡県飯塚市新飯塚20-7 プチプロスSR 1F。メニューあり。,,,,,,,,,
ヨガ、エステサロンs.f &c野上愛子,鯰田,both,Yoga salon. エステsalon,〒820-0001 福岡県飯塚市鯰田２４２３−４,33.6554092,130.6980521,美容室,美容・健康,,,https://www.google.com/maps/place/?q=place_id:ChIJ2S0Ag4LVQzURO3cTrf5Qa7o,頭痛もちの私もヨガのおかげで少しずつ改善出来て今はほとんど頭痛薬を飲まないようになりました。(^ー^)私と同じ悩みの方も多いと思いますので是非とも相談してみて下さい。オススメです！,,頭痛もちの私もヨガのおかげで少しずつ改善出来て今はほとんど頭痛薬を飲まないようになりました。(^ー^)私と同じ悩みの方も多いと思いますので是非とも相談してみて下さい。,,,,,,,,,
第一タイヤサービス,横田,both,第一タイヤサービス,〒820-0044 福岡県飯塚市横田５２−１,33.6451622,130.6756292,自動車修理,クルマ,0948-24-1530,,https://www.google.com/maps/place/?q=place_id:ChIJE3SaKTN-QTURO-Peiq-OxxE,いつもタイヤの付替えのときには 親切 丁寧ねしてもらってます 予約もきくので ありがたいです,タイヤ販売・整備専門店。乗用車からトラックのタイヤ交換、取付、商品販売を行う。電話0948-24-1530。新飯塚駅近く。従業員3名規模の小規模事業所。,タイヤ販売・整備専門店。乗用車からトラックのタイヤ交換、取付、商品販売を行う。,,,,,,,,,
喜酒楽膳あぐら,飯塚,both,喜酒楽膳 あぐら,〒820-0041 福岡県飯塚市飯塚１１−９ 心ビル 1F,33.6364891,130.6859175,飲食店,グルメ・飲食,0948-23-1666,,https://www.google.com/maps/place/?q=place_id:ChIJndjA0jl-QTURdxqquxWdsek,初めて行ったけど女の子のバイト⁇ とにかく接客が最悪。 2度と行きたくないですね。。 料理はいいのに接客態度で台無しです。 / 土曜日に予約して入店。 お刺身が美味しかったです。 あと、魚系や焼物系が旨かった。 日本酒好きとしては、日本酒の地酒を１グラスで注文できて、飲み比べ出来たのが良かった。日本酒は東北など9名柄ほどがあり,,初めて行ったけど女の子のバイト⁇ とにかく接客が最悪。2度と行きたくないですね。,,,,,,,,,
㈱エコライフ福岡,片島,both,株式会社ｴｺﾗｲﾌ福岡,〒820-0068 福岡県飯塚市片島３丁目１６−２６,33.6471086,130.6784332,飲食店,グルメ・飲食,0948-28-7151,https://store.shopping.yahoo.co.jp/t-y-bijin/,https://www.google.com/maps/place/?q=place_id:ChIJv6RYkC1-QTUR6BsAl1hnO0I,何でもいからEMを飲んでみて欲しい。騙されたと思ってでも。 特に抗〇剤とか放〇線治療とか必要な病気の方。驚くほど効果あります。酵素のパワーを思い知ります。 / ガーデニングの関係でEM菌（乳酸菌、酵母、光合成細菌など、自然界に存在する人間に有益な微生物（善玉菌）の集合体）について知っていましたが、ここでは飲用に調整されたEM菌（飲料）が販売されています。実は,,何でもいからEMを飲んでみて欲しい。騙されたと思ってでも。,,,,,,,,,
(株)本河住建,柏の森,both,本河住建,〒820-0011 福岡県飯塚市柏の森７５−１,33.6417123,130.7048369,建設・工事,住まい・暮らし,0948-23-6097,http://www.honkawa-jyuken.com/,https://www.google.com/maps/place/?q=place_id:ChIJB2LjuBx-QTURNSn2quKOlw8,,福岡県飯塚市柏の森75-1に所在する建設会社。新築住宅の施工事例（例: U様邸2階建）をウェブサイトで公開。TEL:0948-23-6097、FAX:0948-23-0506。不動産物件情報も扱う。,福岡県飯塚市の建設・工事業者。2階建て住宅などの建築実績がある。,,,,,,,,,
